doc_id,source,case_no,case_src,doctype,category,category_src,post_id,title,gate,bundled
output_법원 노동판례/근로기준/2017도16384_퇴사 시 자료 인수인계 없이 삭제한 경우 업무방해죄 인정.md,crawl,2017도16384,meta,prec,근로기준,folder,,퇴사 시 자료 인수인계 없이 삭제한 경우 업무방해죄 인정,verbatim,1
output_법원 노동판례/근로기준/2017도16388_도급사업에서 안전조치의무 위반 및 업무상과실치사 인정 사례.md,crawl,2017도16388,meta,prec,근로기준,folder,,도급사업에서 안전조치의무 위반 및 업무상과실치사 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2017도19516_성희롱 가해자에 대한 명예훼손 무죄 사례.md,crawl,2017도19516,meta,prec,근로기준,folder,,성희롱 가해자에 대한 명예훼손 무죄 사례,verbatim,1
output_법원 노동판례/근로기준/2017도20455_회사 도로 바닥에 경영진을 비난하는 욕설을 쓰면 모욕죄.md,crawl,2017도20455,meta,prec,근로기준,folder,,회사 도로 바닥에 경영진을 비난하는 욕설을 쓰면 모욕죄,verbatim,1
output_법원 노동판례/근로기준/2017두70793_재심위원회 구성 절차 위반 해고 부당 인정 사례.md,crawl,2017두70793,meta,prec,근로기준,folder,,재심위원회 구성 절차 위반 해고 부당 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2017두76005_육아휴직후 전보조치 위법 인정 사례.md,crawl,2017두76005,meta,prec,근로기준,folder,,육아휴직후 전보조치 위법 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2018다206899_청원경찰의 감시적 근로자 부정 사례.md,crawl,2018다206899,meta,prec,근로기준,folder,,청원경찰의 감시적 근로자 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2018다224668_최저임금 산입 범위 인정 사례 - 상여금 만근수당.md,crawl,2018다224668,meta,prec,근로기준,folder,,최저임금 산입 범위 인정 사례 - 상여금 만근수당,verbatim,1
output_법원 노동판례/근로기준/2018다229120_채권추심원의 근로자 지위 인정 사례.md,crawl,2018다229120,meta,prec,근로기준,folder,,채권추심원의 근로자 지위 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2018다237237_부당해고소송의 화해권고결정금액은 비과세소득.md,crawl,2018다237237,meta,prec,근로기준,folder,,부당해고소송의 화해권고결정금액은 비과세소득,verbatim,1
output_법원 노동판례/근로기준/2018다241083_근기법 제63조제1호의 그 밖의 농림 사업 해당 부정 사례.md,crawl,2018다241083,meta,prec,근로기준,folder,,근기법 제63조제1호의 그 밖의 농림 사업 해당 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2018다244877_포괄임금약정 인정 퇴직금 분할 약정 부정 사례.md,crawl,2018다244877,meta,prec,근로기준,folder,,포괄임금약정 인정 퇴직금 분할 약정 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2018다249308_한전 KPS 통상임금 사건.md,crawl,2018다249308,meta,prec,근로기준,folder,,한전 KPS 통상임금 사건,verbatim,1
output_법원 노동판례/근로기준/2018다251486_대기발령후 3개월 무보직 이유 해고 무효 확인 사례.md,crawl,2018다251486,meta,prec,근로기준,folder,,대기발령후 3개월 무보직 이유 해고 무효 확인 사례,verbatim,1
output_법원 노동판례/근로기준/2018다253680_성적부진자 해고 정당성 인정 사례.md,crawl,2018다253680,meta,prec,근로기준,folder,,성적부진자 해고 정당성 인정 사례,verbatim,1
